Title,Podficcer,Author,Ship,Link
Rise Above the Moon,Queenie_Mab,Queenie_Mab,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/2064681"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rivalry,micha_making_podfics,Ladderofyears,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47034949"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rocking Around the Christmas Tree ,ETL_Echo_Audiobooks,PTwritesmore,Daphne Greengrass/Ron Weasley,"<a href=""https://archiveofourown.org/works/52303636"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Role Models,Ashata,squidgilator,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/41301744"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Romantic Obscenities and Other Curiosities Of Love,"BurningAurora, read by (ashata)",casstayinmyass,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/49121635"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ron Weasley and the Clothes of Doom,DemonFeedAudio,Liesha130,Ron Weasley/Blaise Zabini,"<a href=""https://archiveofourown.org/works/39167535"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Roots and Veins,Ashata,fruitcoops,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45113347"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rosemary for Remembrance,Paper Crane Audiobooks,rubber_soul02,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/3c2N3AOqo4NpvaYxG1XDGH?si=4376a8e19eef478e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Rosemary for Remembrance,Portable Magic,rubber_soul02,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0fRZAXdJ9BDSaDXnUyHmV5?si=6c600ee3cfcb4e40"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Rough Seas (and Hard Sails) - TTS,BurningAurora,heartofspells,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/19DqD2nGtzBLtcmU6KD5lw?si=c6b20183b89145d0"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Routines,JocundaSykes,Phantomato,Edmund Pevensie/Tom Riddle,"<a href=""https://archiveofourown.org/works/47276146"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ruin,monarchyofone,Chickenpets,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/26834212"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ruined,TheseLittleWonders,In_Dreams,Hermione Granger/Theodore Nott,"<a href=""https://archiveofourown.org/works/52882027"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ruining Pansy Parkinson,DontStopHerPodfics,DontStopHerNow,Pansy Parkinson/Percy Weasley,"<a href=""https://archiveofourown.org/works/47181571"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rules of Magical Engagement,sisi_rambles,annuscka ,Bellatrix Lestrange/Rodolphus Lestrange,"<a href=""https://archiveofourown.org/works/528434"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rumours of My Death,picascribit,picascribit,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/934572"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Running from Lions,seeking_semperfiona,tryslora,Harry Potter/Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/3127415"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Running on Air,EllaMcSmellBella,eleventy7,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/2lS5Tkf3VGBLCtGsO0MXNO?si=03e2f2e3ba91452e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Sanctuary - TTS,BurningAurora,sliebman10,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45364162"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Sands of Time: Part 1, This is Your Hourglass (It's Running Out of Sand)",RoastedOats,Drag0nst0rm,James Potter/Lily Evans Potter,"<a href=""https://archiveofourown.org/works/52858933"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Sands of Time: Part 2, This is Your Legacy (It's Written in the Sand)",RoastedOats,Drag0nst0rm,Harry Potter & James Potter & Lily Evans Potter,"<a href=""https://archiveofourown.org/works/52859047"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Savage,fire_juggler,marguerite_26,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/309338"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Say that again,ETL_Echo_Audiobooks,pixydustworld,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/45685513"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
scared but reckless,Rionaa,Someone_aka_Me,Draco Malfoy/Charlie Weasley,"<a href=""https://archiveofourown.org/collections/31172150"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Scars ,starduchess,suitesamba,Harry Potter/Severus Snape,"<a href=""https://www.audiofic.jinjurly.com/scars-0"" target=""_blank""><img src=""./imgs/default.png"" alt=""default"" class=""link_icon""></a>"
School Shopping,kitartpods,capsquared,Percy Weasley/Oliver Wood,"<a href=""https://archiveofourown.org/works/48728005"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Scorbus Arc: Part 1, Best Mates",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,"<a href=""https://archiveofourown.org/works/7656883"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
