Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Cure For Frost,rivertempest,the_con_cept,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://hp-podfic-fest.livejournal.com/14078.html,,,Snarry,,,,,,,
A Cure For Nightmares,picascribit,picascribit,14 of 14,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/920957,,,Wolfstar,,,,,,,
A Dark Place in Time,raitala,cutecoati,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/25753513,,,Drarry,,,,,,,
A Day By The Great Lake,sisi_rambles,SkyRose,oneshot,complete,0-15 mins,Harry Potter,https://archiveofourown.org/works/18526486,,,,,,,,,,
A Dead Black Christmas,FanficTalk Podfics,felpata_Lupin,oneshot,complete,15-60 mins,"Remus Lupin/Nymphadora Tonks, Black family",,https://open.spotify.com/episode/6TTS2U3y6jIViTKMXIYSyh?si=bac0f18d01194d7e,,,,,,,,,
A declaration of Epic Proportions,bleedforyou1,bleedforyou1,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://amplificathon.dreamwidth.org/1534099.html,,,Drarry,,,,,,,
A Delightful Descent into Depravity,"Beatificbean, ETL_Echo_Audiobooks","HeyJude19, mightbewriting, niffizzle",31 of 31,complete,1-5 hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137071,,,Dramione,,,,,,,
A Different Sort of Dread,EllaMcSmellBella,itscometothis,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41331801,https://open.spotify.com/episode/7xGWXmktFL8qIb83gUyLB0?si=118a1dea74b34ac8,,Dramione,,,,,,Severus Snape/OMC,4
A Different Sort of Sorting,Opalsong,Lullabyknell,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/8835805,,,Drarry,,,,,,,
A Dramione Halloween,EllaMcSmellBella,Mermaid886,oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50142277,https://open.spotify.com/episode/2BxEQJ5B8EGATaMJRUrNBf?si=247d30082f6f483e,,Dramione,,,,,,,
A Drarry Halloween,EllaMcSmellBella,Mermaid886,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385607,https://open.spotify.com/episode/6G9rSCnQVhbKNUzx8XYe9o?si=43ece321287345e8,,Drarry,,,,,,,
A Dream,Alec Reads,multiplefandombish,7 of 31,in progress,in progress,Draco Malfoy/Harry Potter,,https://open.spotify.com/episode/2hvfkJq1w2mg3HEXfUJi1i?si=R6OinanjR3WJSMt-pVnABA,https://www.youtube.com/watch?v=WNbyF0RpJ3w,Drarry,,,,,,,
A Dream About a Boy,semperfiona,OTPshipper98,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27266605,,,Drarry,,,,,,,
A Dream is a Wish Your Heart Makes,Straynyx,duplicity,oneshot,complete,0-15 mins,Harry Potter & Tom Riddle,https://archiveofourown.org/works/32593792,,,,,,,,,,
A Dress with Pockets,"Beatificbean, ETL_Echo_Audiobooks",PacificRimbaud,5 of 5,complete,1-5 hours,Neville Longbottom/Pansy Parkinson,https://archiveofourown.org/works/38194591,,,Panville,,,,,,,
A Drunken Confession,Dramione oneshots,firewriter96,oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/0IhdVB9ULoBa7wwiRyxGyD?si=f05f51a4bd9144a2,,Dramione,,,,,,,
A Family Man’s Tale,Sam Gabriel,Tranquil_Tevene,8 of 8,complete,5+ hours,Vernon Dursley,https://samgabrielvo.com/drscasts/,,,,,,,,,,
A Favourite Silence,LenaLawlipop,queerlybeloved777,oneshot,complete,0-15 mins,Number Twelve Grimmauld Place POV,https://archiveofourown.org/works/44261284,,,,,,,,,,
A Feast for Harry,celestlyn,celestlyn,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/6383.html,,,Drarry,,,,,,,
A Fibonacci Romance,sylvaine,Woldy,oneshot,complete,0-15 mins,Minerva McGonagall/Septima Vector,https://archiveofourown.org/works/1806073,,,,,,,,,,
A Flame Undamped,Lee Marchais / WeasleyWench,Frayach,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/612171,,,Drarry,,,,,,,
A Flower a Day,GallifreyisBurning,GallifreyisBurning,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/55200640,,,Drarry,,,,,,,
A Fortune in Feelings,sunflower_swan,ravenslight,oneshot,complete,0-15 mins,Abraxas Malfoy/Minerva McGonagall,https://archiveofourown.org/works/36756925,,,,,,,,,,
A Fruit Tree in Winter,takola,bryoneybrynn,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/437569,,,Drarry,,,,,,,
A Game of High Stakes,Lis Podfics,In_Dreams,5 of 51,hiatus,N/A,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50367562,https://open.spotify.com/episode/7GbxlXw6v5kz8rUDnEjFHz?si=057b05ea319d4693,,Dramione,,,,,,,
A Gentlemans Agreement,Static_Whisper,Elucreh,oneshot,complete,15-60 mins,Cedric Diggory/Oliver Wood,https://archiveofourown.org/works/31323605,,,,,,,,,,
A Ghost Among Ghosts,picascribit,picascribit,3 of 3,complete,15-60 mins,Delphi & Voldemort,https://archiveofourown.org/works/7621780,,,,,,,,,,
A Gift of True Esteem,"Cailynwrites, ETL_Echo_Audiobooks",apliddell,12 of 12,complete,5+ hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51850045,,,Drarry,,,,,,,
A Good Day,reena_jenkins,musesfool,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://amplificathon.dreamwidth.org/1498240.html,,,Wolfstar,,,,,,,
