Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
Breath Mints / Battle Scars,AMP Audiobooks,Onyx_and_Elm,51 of 51,complete,10+ hours,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/5VLs0PBgIKXjDiHngIWU0d?si=24444784b03445bd,,Dramione,,,,,,,
Breath of Fresh Air,FanficTalk Podfics,Crimson Quill,oneshot,complete,0-15 mins,Katie Bell/Alicia Spinnet,,https://open.spotify.com/episode/0HjaonaW3UEHAeOmktfMGD?si=f78c28a7d3c0445c,,,,,,,,,
Breathless,"Miss_sabre, XandriaNirvana",xLoveMx,oneshot,complete,15-60 mins,Remus Lupin/James Potter,https://archiveofourown.org/works/9557687,,,,,,,,,,
Brewed out of Control,EllaMcSmellBella,RockingRobin,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385646,https://open.spotify.com/episode/1m31Be9jknLd3miGRu1zdc?si=4d9af4f20ee6425b,,Drarry,,,,,,,
Briar Nose,isis,isis,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/briar-nose,,,Snarry,,,,,,,
bright recursions,erevat,glittering_git,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27803935,,,Drarry,,,,,,,
Brightest Witch of the Age,SnowFae,SnowFae,oneshot,complete,0-15 mins,Hermione Granger,https://archiveofourown.org/works/10700340,,,,,,,,,,
Bring Her Back,FanficTalk Podfics,crowsb4bros,oneshot,complete,0-15 mins,Amelia Bones,,https://open.spotify.com/episode/5ngryplp0F8ihLsNDLhYW7?si=1fc7a6c5d6de4e52,,,,,,,,,
Bring Him to His Kness,ETL_Echo_Audiobooks,Musyc,31 of 31,complete,20+ hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40899828,,,Dramione,,,,,,,
Bringer of Battle,dreaming_athena,dreaming_athena,oneshot,complete,0-15 mins,Severus Snape,https://amplificathon.dreamwidth.org/928816.html,,,,,,,,,,
Broadening Horizons,bastardsirius,icarusinflight,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/15580206,,,Wolfstar,,,,,,,
Broken Glass and Dust,vanilladust,mithrel,oneshot,complete,0-15 mins,Longbottom Family,https://archiveofourown.org/works/18698800,,,,,,,,,,
Broken Wrists,naturegirlrocks,naturegirlrocks,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://hp-podfic-fest.livejournal.com/9364.html,,,Snarry,,,,,,,
Bronze-Pressed Invitations,"icarusinflight, kitty_fic, Vaysh",Lomonaaeren,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/22153849,,,Drarry,,,,,,,
brown-paper-wrapped,bluedreaming,bluedreaming,oneshot,complete,0-15 mins,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/33384016,,,Linny,,,,,,,
Bruised Words,cozychronicles,starknjarvis,oneshot,complete,1-5 hours,Harry Potter & Severus Snape,https://archiveofourown.org/works/54252922,,,,,,,,,,
Bruises,picascribit,picascribit,oneshot,complete,0-15 mins,Aberforth Dumbledore,https://archiveofourown.org/works/924651,,,,,,,,,,
Bruises,toomanycurls,MegGonagall,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://fanfictionaudiobooks.tumblr.com/post/150555445169,,,Wolfstar,,,,,,,
Bruises,FanficTalk Podfics,MegGonagall,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,,https://open.spotify.com/episode/3wib0iag0flDk2Kz89nnYQ?si=28b714e620ab47b4,,Wolfstar,,,,,,,
Building a Home,Straynyx,duplicity,5 of 5,complete,1-5 hours,Harry Potter & Tom Riddle,https://archiveofourown.org/works/33559717,,,,,,,,,,
Building With Worn-Out Tools,EpicOtaku,Lomonaaeren,2 of 33,hiatus,N/A,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/8956831,,,Drarry,,,,,,,
Bullfinch's Mythology,xinasvoice,copperbadge,oneshot,complete,15-60 mins,Tonks Family,https://archiveofourown.org/works/11652177,,,,,,,,,,
Buns in the Oven,timothysboxers,Erin_Riwen,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/30587765,,,Drarry,,,,,,,
Burning Day: A Tale of Rebirth,fire_juggler,tealeaf523,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/8016616,,,Drarry,,,,,,,
Burning Fog,smirkingcat,candamira,oneshot,complete,15-60 mins,Draco Malfoy/Ginny Weasley,https://amplificathon.livejournal.com/2096819.html,,,Drinny,,,,,,,
Business Meetings,smirkingcat,Lomonaaeren,15 of 15,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/10503966,,,Drarry,,,,,,,
By Any Other Name,sweaters_in_the_summer,stellates,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/53271664,,,Drarry,,,,,,,
By Chance,Juuls (Juulna),rosestone,oneshot,complete,15-60 mins,Dudley Dursley,https://archiveofourown.org/works/39410010,,,,,,,,,,
by her own light,mixtapepod,kitsunerei88,oneshot,complete,15-60 mins,Petunia Evans Dursley,https://archiveofourown.org/works/40723680,,,,,,,,,,
By Your Leaf,sisi_rambles,stepquietly,oneshot,complete,0-15 mins,Padma Patil & Parvati Patil,https://archiveofourown.org/works/13418325,,,,,,,,,,
Bzz,Straynyx,Wolven_Spirits,oneshot,complete,15-60 mins,Harry Potter/Tom Riddle,https://archiveofourown.org/works/38599869,,,Tomarry,,,,,,,
Caesura - TTS,BurningAurora / Wolfstar Podfics,ImpishTubist,oneshot,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44088223,https://open.spotify.com/episode/1OL7HyVhBk9sIUvLj5K16g?si=TRajRUEnTgmDAgHULeA_IQ,,Wolfstar,,,,,,,
Caged,EllaMcSmellBella,danpuff,oneshot,complete,0-15 mins,Harry Potter/Severus Snape,https://archiveofourown.org/works/44581432,,,Snarry,,,,,,,
Cake,lazulus,astolat,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7805179,,,Drarry,,,,,,,
Cake or Death,cas_tielle,Saras_Girl,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/5062345,,,Drarry,,,,,,,
"calamitous love, insurmountable gried",ellieauthor / Dramione Podfics,ellieauthor,oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/3UyIjkML0ZSuAAhYrC92Ui?si=m-Di1BRNRH6dYgfdj6OcPw,,Dramione,,,,,,,
Call and Response,ashata,fruitcoops,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/41476818,,,Wolfstar,,,,,,,
call it a badge of honor,wordsaremyfaith,dirgewithoutmusic,oneshot,complete,0-15 mins,Astoria Greengrass,https://archiveofourown.org/works/20692631,,,,,,,,,,
"Call Me, Won't YOu?","Cailynwrites, ETL_Echo_Audiobooks",Aelys_Althea,11 of 11,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50435704,,,Drarry,,,,,,,
can i have this dance?',Anonymous,mischiefmandied,oneshot,complete,0-15 mins,Hermione Granger/Fred Weasley,https://archiveofourown.org/works/43636656,,,,,,,,,,
Can't Fight The Moonlight,sweaters_in_the_summer,sunsetmog,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50373079,,,Drarry,,,,,,,
can't let go,Ellejabell,s0uled_out,oneshot,complete,0-15 mins,Harry Potter/Ginny Weasley,https://archiveofourown.org/works/39091572,,,Hinny,,,,,,,
Can't Let Go,Ellejabell,Manwathiel_Caladwen,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39219669,,,Drarry,,,,,,,
Can't Look at the Stars (Halloween 1981),peaceinpanem,BrigidFaye,oneshot,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51236122,,,Wolfstar,,,,,,,
Can't Take The Sky,JocundaSykes,Cluegirl,oneshot,complete,5+ hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/52632856,,,Snarry,,,,,,,
Cans,Vikehi,Vikehi,oneshot,complete,0-15 mins,Harry Potter,https://archiveofourown.org/works/6130302,,,,,,,,,,
Capitulation,JocundaSykes,slashmarks,oneshot,complete,15-60 mins,Rodolphus Lestrange/OFC,https://archiveofourown.org/works/22973977,,,,,,,,,,
Capture Rate,EllaMcSmellBella,"ChaosAndCrumpets, Saberspooky, slytherindiaries",oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50142019,https://open.spotify.com/episode/0EdZAjdBRFkQJf8Eft13ai?si=fc79819fa6914c8b,,Dramione,,,,,,,
Cards Against the Ministry,nocturn,storyofeden,oneshot,complete,15-60 mins,Hermione Granger/Nymphadora Tonks,https://archiveofourown.org/works/52170586,,,,,,,,,,
Care and Feeding of Your Severus Snape,GrinningCat,shyfoxling,oneshot,complete,0-15 mins,Severus Snape,https://archiveofourown.org/works/52835377,,,,,,,,,,
Care of Magical Creatures,Cailynwrites,Arsenic,7 of 7,complete,5+ hours,Hermione Granger/Remus Lupin,https://archiveofourown.org/works/53209801,,,Remione,,,,,,,
Carousel,HopeForTheWitch,HopeForTheWitch,oneshot,complete,0-15 mins,Luna Lovegood/Tom Riddle,https://archiveofourown.org/works/48574924,,,,,,,,,,
Carpe Piscis,EllaMcSmellBella,tygermine,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41828163,https://open.spotify.com/episode/0yCWC5DsZOATQ6g7jggyOR?si=55c38eea783d4368,,Dramione,,,,,,,
Carry Me Out,peasina,LamiaCalls,oneshot,complete,0-15 mins,Hermione Granger/Pansy Parkinson,https://archiveofourown.org/works/24910435,,,Pansmione,,,,,,,
Carthage,schemingreader,schemingreader,oneshot,complete,15-60 mins,Remus Lupin/Severus Snape,https://amplificathon.dreamwidth.org/1831614.html,,,Snupin,,,,,,,
Cartographer's Craft,ineptshieldmaid,copperbadge,33 of 44,hiatus,N/A,Sirius Black/Harry Potter,https://archiveofourown.org/works/5447639,,,,,,,,,,
Cassiopeia Lily Malfoy,sweaters_in_the_summer,GallaPlacidia,15 of 15,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41582433,,,Drarry,,,,,,,
Cast Your Own,bluedreaming,minkhollow,oneshot,complete,15-60 mins,Blaise Zabini,https://archiveofourown.org/works/37866040,,,,,,,,,,
Casting Moonshadows,eli,moonsign,5 of 87,in progress,in progress,Sirius Black/Remus Lupin,,https://open.spotify.com/episode/20zvy5RMC3JiDNajrLsOB8?si=7a2a21a4e212419e,,Wolfstar,,,,,,,
Castle On The Hill,Thunder_of_Dragons,tsundanire,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archive.org/details/podfic-castle-on-the-hill-by-tsundanire,,,Drarry,,,,,,,
Cat's Eyes and Rosebuds,RoastedOats,daemonbreath,2 of 2,complete,15-60 mins,Theodore Nott & Harry Potter,https://archiveofourown.org/works/46547134,,,,,,,,,,
"Catboy!Draco: Part 1, Meow",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17100.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 10, That Thing You Do",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 11, Harry's Dilemma",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 12, Transformations",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18252.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 13, Grumpy Kitty Needs a Nap",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18252.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 14, A New Approach",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18252.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 15, Draco's Best Friend",twasadark,twasadark,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18638.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 16, What's New Pussycat?",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18638.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 17, As the Catboy Purrs - Epilogue",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/18638.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 2, Here Kitty, Kitty",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17100.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 3, Cat and Mouse",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17100.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 4, Negotiation",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 5, Harry's Animagus Training 101",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 6, Progress?",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 7, Backtracking",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 8, Renegotiating",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
"Catboy!Draco: Part 9, Harry's New Terms",twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/17242.html,,,Drarry,,,,,,,
Catch and Release,fire_juggler,RoozetteR,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://archiveofourown.org/works/309650,,,Snarry,,,,,,,
Catfished,Rindle,Saras_Girl,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/20757428,https://www.livejournal.com/away?to=http%3A//hp-podfic-fest.parakaproductions.com/fall-fest-2019/Catfished.m4b,,Drarry,,,,,,,
Cathexis,Queenie_Mab,WeasleyWench,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/883912,,,Drarry,,,,,,,
Cauterize,TheLastVoice,Lady-Altair,oneshot,complete,0-15 mins,Dennis Creevey,https://archiveofourown.org/works/36321127,,,,,,,,,,
Cedric and Luna in the Different Sorting AU,Opalsong,Lullabyknell,oneshot,complete,0-15 mins,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/8835829,,,Linny,,,,,,,
Cedric's Letters,Sandstripe,Oakstone730,oneshot,complete,0-15 mins,Cedric Diggory/OMC,https://archiveofourown.org/works/41695719,,,,,,,,,,
"Celestial Bodies, and the Men Who Love Them",sallysparrow017,sheafrotherdon,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/13392861,,,Wolfstar,,,,,,,
Celestial Navigation,lumosauxnight,violet_storms,oneshot,complete,0-15 mins,Luna Lovegood/Ginny Weasley/Cho Chang,https://archiveofourown.org/works/41716767,,,,,,,,,,
Chained to the Moon - TTS,BurningAurora / Wolfstar Podfics,MsAlexWP,32 of 32,complete,10+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51859867,https://open.spotify.com/episode/3WgrifeRe7QFm5lQIXE0CR?si=277f732effb6466b,,Wolfstar,,,,,,,
Chalk this one up as a win,Bloodyvalentine,tamerofdarkstars,oneshot,complete,15-60 mins,Marcus Flint/Oliver Wood,https://archiveofourown.org/works/18839263,,,,,,,,,,
Changing with the season,lastontheboat,harryromper,26 of 26,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43350714,,,Drarry,,,,,,,
charity begins at home,"JocundaSykes, Kittona, pinklotus9",leftsidedown,oneshot,complete,0-15 mins,Charity Burbage/Narcissa Black Malfoy,https://archiveofourown.org/works/56263960,,,,,,,,,,
"Charlie's Demons: Part 1, Antithesis",RoastedOats,DisorganizedKitten,oneshot,complete,15-60 mins,Barty Crouch Jr./Percy Weasley,https://archiveofourown.org/works/43872183,,,,,,,,,,
"Charlie's Demons: Part 2, Aquaintance",RoastedOats,DisorganizedKitten,oneshot,complete,15-60 mins,Charlie Weasley,https://archiveofourown.org/works/43883626,,,,,,,,,,
"Charlie's reaction to Ron's letter about his dragon problem, (Or Grad Student will do anything to get out of work)",Dr_Fumbles_McStupid,hippity-hoppity-brigade,oneshot,complete,0-15 mins,Charlie Weasley,https://archiveofourown.org/works/9248417,,,,,,,,,,
Charmbreaker,randomicicle,orange_crushed,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://amplificathon.dreamwidth.org/1733851.html,,,Wolfstar,,,,,,,
Chase,wilfriede0815,triggerlil,oneshot,complete,0-15 mins,Cho Chang/Ginny Weasley,https://archiveofourown.org/works/46999906,,,,,,,,,,
Chasing Shadows,lastontheboat,manixzen,18 of 18,complete,5+ hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/37293553,,,Drarry,,,,,,,
Chasing Stars,smirkingcat,keyflight790,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21466732,,,Drarry,,,,,,,
Check the Map,ThatAloneOne,ThatAloneOne,oneshot,complete,0-15 mins,Gilderoy Lockhart/Severus Snape,https://archiveofourown.org/works/39285843,,,,,,,,,,
Checkmating,sisi_rambles,mahaliem,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/447939,,,Drarry,,,,,,,
Cherry Waves,fairies_withspirits,fairies_withspirits,3 of 3,complete,1-5 hours,Regulus Black/Sirius Black,https://archiveofourown.org/works/54948958,,,,,,,,,,
Chicken Soup and Cuddles,bluedreaming,Jgogoboots,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/25395886,,,Drarry,,,,,,,
Children in Towers,istie,LexyPro,10 of ?,completeish,1-5 hours,Hermione Granger/Harry Potter,https://archiveofourown.org/works/19784473,,,Harmony,,,,,,,
Chocolate,frecklebomb,Call_Me_CakeWife,oneshot,complete,0-15 mins,Remus Lupin,https://archiveofourown.org/works/35566810,,,,,,,,,,
Chocolate Cocks and How to Make Them,"Cailynwrites, ETL_Echo_Audiobooks",drarryruinedme7,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51008737,,,Drarry,,,,,,,
Chocolate Head,Curlee_cue,emmagrant01,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/51325.html,,,Drarry,,,,,,,
Choice and Chance,ETL_Echo_Audiobooks,ChaosAndCrumpets,30 of 30,complete,20+ hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/47130091,,,Dramione,,,,,,,
Choices,Seralina,MesserMoon,28 of 56,hiatus,N/A,Regulus Black/James Potter,https://archiveofourown.org/works/44849467,https://www.youtube.com/playlist?list=PLsONp1c3iZ3o5ihKk34GgLCa0ADr2fHlA,,Jegulus,,,,,,,
Choices,YourMomsLibrary,MesserMoon,10 of 56,in progress,in progress,Regulus Black/James Potter,,https://open.spotify.com/episode/29U9rNJuvIQnyQi0wxVKiC?si=e6ab73f5d1d54daa,,Jegulus,,,,,,,
Choices,Evan,MesserMoon,12 of 56,in progress,in progress,Regulus Black/James Potter,,https://open.spotify.com/episode/7D7ohi8DbduHEwpCDIvoTJ?si=a00aa5c65d0f4a24,,Jegulus,,,,,,,
Choices,Jules,MesserMoon,25 of 56,in progress,in progress,Regulus Black/James Potter,,https://open.spotify.com/show/3hkblroxFdYElSivOVWCjG?si=7d5b955af5734a7c,,Jegulus,,,,,,,
Choices and Changes,lalaspodfics,Dahlia_Rose_83,14 of 14,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45710158,,,Drarry,,,,,,,
Chopsticks,TheQuietWings,orphan_account,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/19745185,,,Drarry,,,,,,,
Christmas in March,RattleandHum,sebastianL,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/35846569,,,Drarry,,,,,,,
Christmas Lists,This_Time_I_Wont_Regret_My_Username,ZieZie13,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/28907682,,,Drarry,,,,,,,
Christmas Spirit,Jenepod,vickyducky,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/2075556,,,Drarry,,,,,,,
Christmas Stockings,littleroo27,dysonrules,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/12028.html,,,Drarry,,,,,,,
"Christmas, Neatly Tied Up",rhi cauldrie,olivia_lupin,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://www.audiofic.jinjurly.com/christmas-neatly-tied-up,,,Drarry,,,,,,,
Chuck Norris Isn't A Man With A Beard. He's A Beard With A Man,"Annapods, Arioch, clachnaben, growlery, idellaphod, KD reads, Podfic_Chicklet_Multipods, podfic_lover, the24thkey, thriceandonce, Vaysh, xancredible",SDK,oneshot,complete,15-60 mins,Millicent Bulstrode/Ginny Weasley,https://archiveofourown.org/works/22395307,,,,,,,,,,
Cigarettes and Slytherins,sisi_rambles,leigh_adams,oneshot,complete,0-15 mins,Susan Bones/Blaise Zabini,https://archiveofourown.org/works/4806425,,,,,,,,,,
Cigarettes Will Kill You,leemarchais,femmequixotic,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://amplificathon.livejournal.com/1496159.html,,,Drarry,,,,,,,
Cinema,The Black Sparrow Podfic,TheIdeaOfSarcasm,31 of 31,complete,10+ hours,Regulus Black/James Potter,,https://open.spotify.com/episode/3PmUNLkMB1QYhFAKqQI9Ig?si=d8dd3a5993e74b04,,Jegulus,,,,,,,
Cinnamon and Smoke,Writer_or_Whatever,Writer_or_Whatever,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/13302849,,,Wolfstar,,,,,,,
Cinnamon Rolls,"podfic_lover, SerenaEW, Robin_Fai, sylvaine",WiCeBa,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://archiveofourown.org/works/50861260,,,Snarry,,,,,,,
Cinnamon Twists,starduchess,the_con_cept,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://hp-podfic-fest.livejournal.com/13526.html,,,Snarry,,,,,,,
Circle,semperfiona,Charis,oneshot,complete,0-15 mins,Minerva McGonagall,https://archiveofourown.org/works/17978684,,,,,,,,,,
Citation Formatting and Other Love Languages,RattleandHum,HeyJude19,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/35360347,,,Dramione,,,,,,,
Civilized,greeniron,copperbadge,oneshot,complete,0-15 mins,Remus Lupin,https://archiveofourown.org/works/24165649,,,,,,,,,,
Clean,Lee Marchais / WeasleyWench,potteresque_ire,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/34322.html,,,Drarry,,,,,,,
Clean Sneak,Avanie,Milarca,oneshot,complete,0-15 mins,Percival Graves/Newt Scamander,https://archiveofourown.org/works/26709268,,,,,,,,,,
Clearly An Idiot,rhi cauldrie,dacro,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://www.audiofic.jinjurly.com/clearly-idiot,,,Drarry,,,,,,,
Cliche #5,reena_jenkins,rageprufrock,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://amplificathon.dreamwidth.org/1436761.html,,,Wolfstar,,,,,,,
Cloistered,ashiiblack,RaeWhit (translator) / Siobhan Parker,12 of 12,complete,1-5 hours,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/cloistered,,,Snarry,,,,,,,
Close Your Eyes,Queenie_Mab,melusinahp,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/close-your-eyes,,,Snarry,,,,,,,
Closet Case - TTS,BurningAurora / Wolfstar Podfics,fruitcoops,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/54354766,https://open.spotify.com/episode/6ugmfREF1FHk5mCQMooEJS?si=yTgNkjbDSsagO6Pz-HHjPg,,Wolfstar,,,,,,,
Closure,ravenna_c_tan,ravenna_c_tan,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/closure,,,Snarry,,,,,,,
Coast To Coast,"Ami, Drunkonturpentine, heyitssmiller, peggyrose19, ashata",lumosinlove,9 of 9,complete,5+ hours,Original Characters,https://archiveofourown.org/works/45454060,https://open.spotify.com/show/1gFkgv10jPYuuW0aJKZ043,,,,,,,,,
Cocktail Hour,sisi_rambles,pretty_panther,oneshot,complete,0-15 mins,Hannah Abbott,https://archiveofourown.org/works/1034852,,,,,,,,,,
Code-Cracking For Gryffindors,cas_tielle,Saras_Girl,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7784947,,,Drarry,,,,,,,
Codename: Daffodil,JocundaSykes,Frumpologist,oneshot,complete,15-60 mins,Narcissa Black Malfoy,https://archiveofourown.org/works/44017788,,,,,,,,,,
Coffee,fire_juggler,writcraft,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/3784690,,,Drarry,,,,,,,
"Coffee and Clichés, Please",Eleanor_Elizabeth,"lankyidiot, moonysly",oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43432732,,,Wolfstar,,,,,,,
Coffee Cup,smirkingcat,keyflight790,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21466879,,,Drarry,,,,,,,
Coffee Shop Sparks,pinklotus9,sophh,oneshot,complete,0-15 mins,Angelina Johnson/Nymphadora Tonks,https://archiveofourown.org/works/55646764,,,,,,,,,,
Cold,DiverTazSC,Sophie_French,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/2522030,broken link,,Drarry,,,,,,,
Cold to All That Might Have Been,starduchess,goddess47,oneshot,complete,0-15 mins,Harry Potter/Severus Snape,https://hp-podfic-fest.livejournal.com/83521.html,,,Snarry,,,,,,,
Cold Victory,thejitterbug,such_heights,oneshot,complete,0-15 mins,Regulus Black,https://archiveofourown.org/works/444468,,,,,,,,,,
Collapse,Ferith12,Ferith12,oneshot,complete,0-15 mins,Regulus Black,https://archiveofourown.org/works/37334020,,,,,,,,,,
Colour My World,fire_juggler,kelly_chambliss,oneshot,complete,15-60 mins,Amelia Bones/Poppy Pomfrey,https://archiveofourown.org/works/2322107,,,,,,,,,,
