Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,Fic Link,notes,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Compliment,peasina,gorgeousnerd,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/36244810,,,Wolfstar,,2022/01/06,2011/01/11,https://archiveofourown.org/works/186341,,,,
"A Conspiracy of Cartographers: Part 1, A History of Cartographers",picascribit,picascribit,12 of 12,complete,15-60 mins,Parents of the Marauders,https://archiveofourown.org/works/924665,,,,,2014/07/11,2014/07/11,https://archiveofourown.org/works/924665/chapters/1979356,,,,
"A Conspiracy of Cartographers: Part 2, A Conspiracy of Cartographers: Year One",picascribit,picascribit,20 of 20,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/905854,,,Wolfstar,,2010/07/12,2010/07/12,https://archiveofourown.org/works/905854/chapters/1752680,,,,
"A Conspiracy of Cartographers: Part 3, A Conspiracy of Cartographers: Year Two",picascribit,picascribit,20 of ?,completeish,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/917717,,,Wolfstar,,2014/06/25,2014/06/25,https://archiveofourown.org/works/917717/chapters/1781114,,,,
A Continuation Involving Powdered Donuts and Fits of Erotic Panic,xinasvoice,xinasvoice,oneshot,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/20159050,,,Wolfstar,,2019/08/08,2019/08/08,https://archiveofourown.org/works/20159050,,,,
A Conversation About Magic,reena_jenkins,ignipes,oneshot,complete,0-15 mins,,https://audiofic.jinjurly.com/conversation-about-magic,,,,,,,,livejournal link deleted,,,
A Crown of Crimson-Gold,thatreallyextrakid,CleotheDreamer,oneshot,complete,0-15 mins,Draco Malfoy,https://archiveofourown.org/works/24176698,,,,,2020/05/14,2020/02/08,https://archiveofourown.org/works/22606903,,,,
A Cup of Sugar - TTS,"BurningAurora, Wolfstar Tales",MsAlexWP,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46773184,https://open.spotify.com/episode/3eF4OOvAt5zSGmBgPURFih?si=gaQ1pCBWQ_GqPxt49DBPsg,,Wolfstar,,2023/04/26,2023/04/13,https://archiveofourown.org/works/46468078,,,,
A Cure For Frost,RiverTempest,the_con_cept,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://hp-podfic-fest.livejournal.com/14078.html,,,Snarry,,2011/12/17,,,ao3 page doesn't exist,,,
A Cure For Nightmares,picascribit,picascribit,14 of 14,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/920957,,,Wolfstar,,2014/05/19,2014/05/19,https://archiveofourown.org/works/920957/chapters/1788530,,,,
A Dark Place in Time,raitala,cutecoati,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/25753513,,,Drarry,,2020/08/06,2008/05/27,https://cutecoati.livejournal.com/114403.html,,,,
A Day By The Great Lake,sisi_rambles,SkyRose,oneshot,complete,0-15 mins,Harry Potter,https://archiveofourown.org/works/18526486,,,,,2019/04/19,2019/03/21,https://archiveofourown.org/works/18191540,,,,
A Dead Black Christmas,FanficTalk Podfics,Felpata_Lupin,oneshot,complete,15-60 mins,"Remus Lupin/Nymphadora Tonks, Black family",,https://open.spotify.com/episode/6TTS2U3y6jIViTKMXIYSyh?si=bac0f18d01194d7e,,,,2020/02/02,2018/08/05,https://fanfictalk.com/archive/viewstory.php?sid=2313&ageconsent=ok&warning=3,,,,
A declaration of Epic Proportions,bleedforyou1,bleedforyou1,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://amplificathon.dreamwidth.org/1534099.html,,,Drarry,,2011/08/06,2010/12/27,https://bleedforyou1.livejournal.com/32957.html,,,,
A Delightful Descent into Depravity,"Beatificbean, ETL_Echo_Audiobooks","HeyJude19, mightbewriting, niffizzle",31 of 31,complete,1-5 hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137071,,,Dramione,,2022/08/19,2021/10/31,https://archiveofourown.org/works/34185727/chapters/85062607,,,,
A Different Sort of Sorting,Opalsong,Lullabyknell,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/8835805,,,Drarry,,2017/01/02,,https://archiveofourown.org/works/35438113,,,Severus Snape/OMC,4
A Dream,Alec Reads,multiplefandombish,7 of 31,in progress,in progress,Draco Malfoy/Harry Potter,,https://open.spotify.com/episode/2hvfkJq1w2mg3HEXfUJi1i?si=R6OinanjR3WJSMt-pVnABA,https://www.youtube.com/watch?v=WNbyF0RpJ3w,Drarry,,2023/10/01,,,needs investigating,,,
A Dream About a Boy,semperfiona,OTPshipper98,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27266605,,,Drarry,,2020/12/11,2019/03/14,https://archiveofourown.org/works/42765774,,,,
A Dream is a Wish Your Heart Makes,Straynyx,duplicity,oneshot,complete,0-15 mins,Harry Potter & Tom Riddle,https://archiveofourown.org/works/32593792,,,,,2021/07/15,2020/06/13,https://archiveofourown.org/works/42765999,,,,
A Dress with Pockets,"Beatificbean, ETL_Echo_Audiobooks",PacificRimbaud,5 of 5,complete,1-5 hours,Neville Longbottom/Pansy Parkinson,https://archiveofourown.org/works/38194591,,,Panville,,2022/04/05,2019/11/11,,needs investigating,,,
A Drunken Confession,Dramione oneshots,firewriter96,oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/0IhdVB9ULoBa7wwiRyxGyD?si=f05f51a4bd9144a2,,Dramione,,2023/01/01,,https://archiveofourown.org/works/18111968,,,,
A Family Man’s Tale,Sam Gabriel,Tranquil_Tevene,8 of 8,complete,5+ hours,Vernon Dursley,https://samgabrielvo.com/drscasts/,,,,,2023/10/07,,https://archiveofourown.org/works/24692125/chapters/59675839,,,,
A Favourite Silence,LenaLawlipop,queerlybeloved777,oneshot,complete,0-15 mins,Number Twelve Grimmauld Place POV,https://archiveofourown.org/works/44261284,,,,,2023/01/14,2022/10/25,https://archiveofourown.org/works/21109976/chapters/50231597,,,,
A Feast for Harry,celestlyn,celestlyn,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/6383.html,,,Drarry,,2011/12/02,2010/12/14,,needs investigating,,,
A Fibonacci Romance,sylvaine,Woldy,oneshot,complete,0-15 mins,Minerva McGonagall/Septima Vector,https://archiveofourown.org/works/1806073,,,,,2014/06/15,2013/05/13,,needs investigating,,,
A Flame Undamped,Lee Marchais / WeasleyWench,Frayach,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/612171,,,Drarry,,2012/12/28,2008/11/21,https://archiveofourown.org/works/42617793,,,,
A Flower a Day,GallifreyisBurning,GallifreyisBurning,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/55200640,,,Drarry,,2024/04/14,2021/11/06,https://archiveofourown.org/works/8189780,,,,
A Fortune in Feelings,sunflower_swan,ravenslight,oneshot,complete,0-15 mins,Abraxas Malfoy/Minerva McGonagall,https://archiveofourown.org/works/36756925,,,,,2022/01/30,2021/12/23,https://archiveofourown.org/works/801823,,,,
A Fruit Tree in Winter,takola,bryoneybrynn,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/437569,,,Drarry,,2012/06/18,2009/06/25,https://frayach.livejournal.com/15322.html,,,,
A Game of High Stakes,Lis Podfics,In_Dreams,5 of 51,in progress,in progress,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50367562,https://open.spotify.com/episode/7GbxlXw6v5kz8rUDnEjFHz?si=057b05ea319d4693,,Dramione,,2023/09/27,2023/06/13,https://archiveofourown.org/works/34960270,,,,
A Gentlemans Agreement,Static_Whisper,Elucreh,oneshot,complete,15-60 mins,Cedric Diggory/Oliver Wood,https://archiveofourown.org/works/31323605,,,,,2021/05/16,2010/05/17,https://archiveofourown.org/works/35886592,,,,
A Ghost Among Ghosts,picascribit,picascribit,3 of 3,complete,15-60 mins,Delphi & Voldemort,https://archiveofourown.org/works/7621780,,,,,2017/08/11,2017/08/11,https://small-gardens.livejournal.com/16580.html,,,,
A Gift of True Esteem,"Cailynwrites, ETL_Echo_Audiobooks",apliddell,12 of 12,complete,5+ hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51850045,,,Drarry,,2023/11/26,2022/08/30,https://archiveofourown.org/works/39620463/chapters/99182247,,,,
A Good Day,reena_jenkins,musesfool,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://amplificathon.dreamwidth.org/1498240.html,,,Wolfstar,,2011/06/20,2009/07/04,https://archiveofourown.org/works/87805,,,,
A Gothic Christmas Patented Daydream Charm,smirkingcat,Vaysh11,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52672726,,,Drarry,,2023/12/31,2015/01/16,https://archiveofourown.org/works/7621780/chapters/17350699,,,,
A Grim Old Cat,monarchyofone,oliversnape,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/29195676,,,Snarry,,2021/02/07,2011/10/20,https://archiveofourown.org/works/41369325/chapters/103738863,,,,
A Handful of Dust,Firerose,Firerose,oneshot,complete,0-15 mins,Voldemort,https://amplificathon.dreamwidth.org/1885233.html,,,,,2012/04/29,2011/01/20,,dead link,,,
A Happy Holiday Indeed,FanficTalk Podfics,Crowsb4bros,oneshot,complete,0-15 mins,Dobby,,https://open.spotify.com/episode/6K5RyA6jdoR2KJXf6GtnOI?si=_YhGV6XQT5SRJTGs4WzO_g,,,,2022/01/01,2016/10/31,https://archiveofourown.org/works/3183320,,,,
A hard day's work,"Cailynwrites, Kittona, Rindle",leftsidedown,oneshot,complete,0-15 mins,Bellatrix Black Lestrange/Rita Skeeter,https://archiveofourown.org/works/56263885,,,,,2024/05/31,2022/07/29,https://archiveofourown.org/works/365629,,,,
a historic and seismic shift,via_ostiense,singlecrow,oneshot,complete,0-15 mins,Hermione Granger,https://amplificathon.dreamwidth.org/360917.html,,,,,2011/06/20,2010/09/26,https://archiveofourown.org/works/153999,,,,
A Hogwarts Carol,Cosbrarian,Cosbrarian,oneshot,complete,15-60 mins,Rolanda Hooch/Minerva McGonagall,https://archiveofourown.org/works/43778484,,,,,2022/12/23,2021/12/08,https://fanfictalk.com/archive/viewstory.php?sid=103,,,,
A Hogwarts Fairy Tale,Opalsong,Opalsong,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/13306968,,,Wolfstar,,2018/01/08,,https://archiveofourown.org/collections/HP_Saffics_Summer_Exchange_2022/works/40025730,,,,
A house is not a home,acGranger,deliciousblizzardshark,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43167114,,,Drarry,,2022/12/29,2022/02/09,https://archiveofourown.org/works/42689949,,,,
A House on Fire,LauDH8,p1013,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36835453,,,Drarry,,2022/03/14,2021/03/07,https://archiveofourown.org/works/121330,,,,
A Jersey,The Dramione Archives,tealitful,23 of 23,complete,1-5 hours,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/0nocApQHoLWuUQc3OKrsFW?si=a1c27300fc884dc8,,Dramione,,,2021/06/22,https://archiveofourown.org/works/35589046/chapters/88724410,,,,
A Lesson in Fidelity - TTS,BurningAurora / Wolfstar Podfics,Quietlemonhush,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51319543,https://open.spotify.com/episode/2gJFEn778MCvhH6CjK4duE?si=NK-Qfcb5QTWBbFCXW0bDHw,,Wolfstar,,2013/07/22,2011/06/01,,needs investigating,,,
A Letter is Like Immortality,FanficTalk Podfics,magemadi,oneshot,complete,15-60 mins,Adrian Pucey,,https://open.spotify.com/episode/0JqGdNIX9914Ylcw2VRWaS?si=743befe292104e2b,,,,2020/02/01,,https://archiveofourown.org/works/37000318,,,,
a life that is theirs,Jocunda Sykes,fantasyborn,oneshot,complete,0-15 mins,Lavender Brown/Parvati Patil,https://archiveofourown.org/works/56184559,,,,,,,https://archiveofourown.org/works/28660107,,,,
A Lifetime and a Half,majoline,thinlizzy2,oneshot,complete,15-60 mins,George Weasley/OMC,https://archiveofourown.org/works/893966,,,,,2013/07/22,2011/06/01,https://archiveofourown.org/works/35366641/chapters/88150462,,,,
A Little 'Sticious,FanficTalk Podfics,facingthenorthwind,oneshot,complete,0-15 mins,Katie Bell/Alicia Spinnet,,https://open.spotify.com/episode/2qo7rwOJJE3WyWyCfhUKTZ?si=2ae92698592b4f81,,,,2020/02/01,,https://archiveofourown.org/works/23798797/chapters/57175030,,,,
A Little Unsteady,"ETL_Echo_Audiobooks, karma_cookie",MegSamadhi,6 of 6,complete,1-5 hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/55979473,,,Dramione,,2024/05/23,2018/03/02,https://archiveofourown.org/works/41042052,,,,
A Loosening,Vaysh,eidheann,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31219754/,,,Drarry,,2015/07/18,2014/11/18,,needs investigating,,,
A Loss of Control,pommedeplume,pommedeplume,oneshot,complete,15-60 mins,Hermione Granger/Ron Weasley,https://archiveofourown.org/works/1777480,,,Romione,,2016/04/15,2016/04/15,https://thinlizzy2.livejournal.com/32825.html,,,,
A Magical Ball,Opalsong,Opalsong,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/17401229,,,Drarry,,2019/01/13,,,needs investigating,,,
A Magical New Year's Eve Masquerade,"Cailynwrites, ETL_Echo_Audiobooks",PTwritesmore,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/52417021,,,Dramione,,2023/12/31,2020/12/30,https://archiveofourown.org/works/13325271/chapters/30499446,,,,
A Mary Sue Alphabet,reena_jenkins,Irony-chan,oneshot,complete,0-15 mins,Original Characters,https://archiveofourown.org/works/19810516,,,,,2019/07/14,2005/01/13,https://archiveofourown.org/works/1127621,,,,
A Matter of Life and Death,"Hananobira, kalakirya",bethbethbeth,oneshot,complete,15-60 mins,Hermione Granger/Severus Snape,https://archiveofourown.org/works/1515791,,,Snamione,,2014/04/25,2010/08/31,https://archiveofourown.org/works/1777480,,,,
A Matter of Trust,wynkat,Leela,oneshot,complete,0-15 mins,Harry Potter/Lucius Malfoy,https://audiofic.jinjurly.com/matter-of-trust-1,,,,,,,,needs investigating,,,
A Midwinter Dream,thejitterbug,Ineffabilitea,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/446204,,,Wolfstar,,2012/06/28,2005/12/06,https://archiveofourown.org/works/13064187,,,,
A Million Light Years from Home,pezzax,musesfool,oneshot,complete,15-60 mins,Sirius Black,https://archiveofourown.org/works/50109874,,,,,2023/10/04,2006/01/23,https://archiveofourown.org/works/28437171,,,,
a mirage of strength,"Cailynwrites, Jocunda Sykes",leftsidedown,oneshot,complete,0-15 mins,Millicent Bulstrode/Pansy Parkinson,https://archiveofourown.org/works/56264983,,,,,2024/05/31,2022/07/29,https://www.fanfiction.net/s/2217444/1/A_Mary_Sue_Alphabet,,,,
A Miscommunication of Massive Proportions,FanficTalk Podfics,down-in-flames,oneshot,complete,0-15 mins,James Potter/Lily Evans Potter,,https://open.spotify.com/episode/7uSSXoe2lUoLNp7tmDDaTz?si=2ff24f7c26604078,,,,2020/02/01,,https://archiveofourown.org/works/110794,,,,
